A0A315,Photosystem Q(B) protein,CC - CATALYTIC ACTIVITY
A0A320,"ATP synthase subunit alpha, chloroplastic",CC - CATALYTIC ACTIVITY
A0A330,Photosystem II D2 protein,CC - CATALYTIC ACTIVITY
A0A342,"ATP synthase subunit beta, chloroplastic",CC - CATALYTIC ACTIVITY
A0A351,Cytochrome b559 subunit beta,CC - FUNCTION
A0A352,Cytochrome b559 subunit alpha,CC - FUNCTION
A0AAL4,Tubulin alpha chain,CC - SUBUNIT
A0ACX8,Catalase-peroxidase,CC - CATALYTIC ACTIVITY
A0AEM0,Arginine deiminase,CC - CATALYTIC ACTIVITY
A0AF11,Peptidyl-tRNA hydrolase,CC - CATALYTIC ACTIVITY
A0AFQ9,ATP synthase subunit alpha 1,CC - CATALYTIC ACTIVITY
A0AFR1,ATP synthase subunit beta 1,CC - CATALYTIC ACTIVITY
A0AFT8,Heme-degrading monooxygenase,CC - CATALYTIC ACTIVITY
A0AFU8,3-dehydroquinate dehydratase,CC - CATALYTIC ACTIVITY
A0AG13,Phosphoribosyl-ATP pyrophosphatase,CC - CATALYTIC ACTIVITY
A0AG14,Phosphoribosyl-AMP cyclohydrolase,CC - CATALYTIC ACTIVITY
A0AG15,Imidazole glycerol phosphate synthase subunit HisF,CC - CATALYTIC ACTIVITY
A0AG17,Imidazole glycerol phosphate synthase subunit HisH,CC - CATALYTIC ACTIVITY
A0AG18,Imidazoleglycerol-phosphate dehydratase,CC - CATALYTIC ACTIVITY
A0AGP9,Spermidine/putrescine import ATP-binding protein PotA,CC - CATALYTIC ACTIVITY
A0AGV7,"Fructose-1,6-bisphosphatase class 3",CC - CATALYTIC ACTIVITY
A0AH75,Glucosamine-6-phosphate deaminase,CC - CATALYTIC ACTIVITY
A0AHD1,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase",CC - CATALYTIC ACTIVITY
A0AHD2,N-acetyldiaminopimelate deacetylase,CC - CATALYTIC ACTIVITY
A0AHG3,Peptide deformylase,CC - CATALYTIC ACTIVITY
A0AHK7,GMP synthase [glutamine-hydrolyzing],CC - CATALYTIC ACTIVITY
A0AIG1,Bifunctional protein FolD,CC - CATALYTIC ACTIVITY
A0AII3,Acylphosphatase,CC - CATALYTIC ACTIVITY
A0AIN8,4-hydroxy-tetrahydrodipicolinate synthase,CC - CATALYTIC ACTIVITY
A0AIQ0,Probable manganese-dependent inorganic pyrophosphatase,CC - CATALYTIC ACTIVITY
A0AIS8,Elongation factor 4,CC - CATALYTIC ACTIVITY
A0AIU3,5&#039;-methylthioadenosine/S-adenosylhomocysteine nucleosidase,CC - CATALYTIC ACTIVITY
A0AIY1,Holliday junction ATP-dependent DNA helicase RuvB,CC - CATALYTIC ACTIVITY
A0AIY2,Holliday junction ATP-dependent DNA helicase RuvA,CC - CATALYTIC ACTIVITY
A0AJ05,Porphobilinogen deaminase,CC - CATALYTIC ACTIVITY
A0AJ79,Tryptophan synthase alpha chain,CC - CATALYTIC ACTIVITY
A0AJ80,Tryptophan synthase beta chain,CC - CATALYTIC ACTIVITY
A0AJ82,Indole-3-glycerol phosphate synthase,CC - CATALYTIC ACTIVITY
A0AJB3,N-acetylmuramic acid 6-phosphate etherase,CC - CATALYTIC ACTIVITY; CC - MISCELLANEOUS
A0AJB9,S-adenosylmethionine synthase,CC - CATALYTIC ACTIVITY
A0AJJ5,Adenine deaminase,CC - CATALYTIC ACTIVITY
A0AJK8,Glutamyl-tRNA(Gln) amidotransferase subunit A,CC - CATALYTIC ACTIVITY
A0AJL9,Bifunctional purine biosynthesis protein PurH,CC - CATALYTIC ACTIVITY
A0AJM3,Phosphoribosylformylglycinamidine synthase 2,CC - CATALYTIC ACTIVITY
A0AJM4,Phosphoribosylformylglycinamidine synthase 1,CC - CATALYTIC ACTIVITY
A0AJS6,Serine/threonine phosphatase stp,CC - CATALYTIC ACTIVITY
A0AJU0,Carbamoyl-phosphate synthase large chain,CC - CATALYTIC ACTIVITY
A0AJU2,Dihydroorotase,CC - CATALYTIC ACTIVITY
A0AJW4,Peptide methionine sulfoxide reductase MsrB,CC - CATALYTIC ACTIVITY
A0AJW5,Peptide methionine sulfoxide reductase MsrA,CC - CATALYTIC ACTIVITY
A0AK07,3-methyl-2-oxobutanoate hydroxymethyltransferase,CC - CATALYTIC ACTIVITY
A0AK12,4-hydroxy-tetrahydrodipicolinate reductase,CC - CATALYTIC ACTIVITY
A0AK45,GTP cyclohydrolase 1,CC - CATALYTIC ACTIVITY
A0AK88,Dihydroxy-acid dehydratase,CC - CATALYTIC ACTIVITY
A0AK92,2-isopropylmalate synthase,CC - CATALYTIC ACTIVITY
A0AK94,3-isopropylmalate dehydratase large subunit,CC - CATALYTIC ACTIVITY
A0AK95,3-isopropylmalate dehydratase small subunit,CC - CATALYTIC ACTIVITY
A0AL18,ATP-dependent helicase/nuclease subunit A,CC - CATALYTIC ACTIVITY
A0AL19,ATP-dependent helicase/deoxyribonuclease subunit B,CC - CATALYTIC ACTIVITY
A0ALD9,Enolase,CC - CATALYTIC ACTIVITY
A0ALG5,Pyrophosphatase PpaX,CC - CATALYTIC ACTIVITY
